# packet	field	type
# source_protocol_dir	1.18.30
# source_protocol_json	data/minecraft-data/bedrock/1.18.30/protocol.json
block_pick_request	x	"zigzag32"
block_pick_request	y	"zigzag32"
block_pick_request	z	"zigzag32"
block_pick_request	add_user_data	"bool"
block_pick_request	selected_slot	"u8"
book_edit	type	["mapper",{"type":"u8","mappings":{"0":"replace_page","1":"add_page","2":"delete_page","3":"swap_pages","4":"sign"}}]
book_edit	slot	"u8"
book_edit		["switch",{"compareTo":"type","fields":{"replace_page":["container",[{"name":"page_number","type":"u8"},{"name":"text","type":"string"},{"name":"photo_name","type":"string"}]],"add_page":["container",[{"name":"page_number","type":"u8"},{"name":"text","type":"string"},{"name":"photo_name","type":"string"}]],"delete_page":["container",[{"name":"page_number","type":"u8"}]],"swap_pages":["container",[{"name":"page1","type":"u8"},{"name":"page2","type":"u8"}]],"sign":["container",[{"name":"title","type":"string"},{"name":"author","type":"string"},{"name":"xuid","type":"string"}]]}}]
boss_event	boss_entity_id	"zigzag64"
boss_event	type	["mapper",{"type":"varint","mappings":{"0":"show_bar","1":"register_player","2":"hide_bar","3":"unregister_player","4":"set_bar_progress","5":"set_bar_title","6":"update_properties","7":"texture","8":"query"}}]
boss_event		["switch",{"compareTo":"type","fields":{"show_bar":["container",[{"name":"title","type":"string"},{"name":"progress","type":"lf32"},{"name":"screen_darkening","type":"li16"},{"name":"color","type":"varint"},{"name":"overlay","type":"varint"}]],"register_player":["container",[{"name":"player_id","type":"zigzag64"}]],"unregister_player":["container",[{"name":"player_id","type":"zigzag64"}]],"query":["container",[{"name":"player_id","type":"zigzag64"}]],"set_bar_progress":["container",[{"name":"progress","type":"lf32"}]],"set_bar_title":["container",[{"name":"title","type":"string"}]],"update_properties":["container",[{"name":"screen_darkening","type":"li16"},{"name":"color","type":"varint"},{"name":"overlay","type":"varint"}]],"texture":["container",[{"name":"color","type":"varint"},{"name":"overlay","type":"varint"}]]}}]
camera	camera_entity_unique_id	"zigzag64"
camera	target_player_unique_id	"zigzag64"
camera_shake	intensity	"lf32"
camera_shake	duration	"lf32"
camera_shake	type	"u8"
camera_shake	action	["mapper",{"type":"u8","mappings":{"0":"add","1":"stop"}}]
change_dimension	dimension	"zigzag32"
change_dimension	position	"vec3f"
change_dimension	respawn	"bool"
change_mob_property	entity_unique_id	"zigzag64"
change_mob_property	property	"string"
change_mob_property	bool_value	"bool"
change_mob_property	string_value	"string"
change_mob_property	int_value	"zigzag32"
change_mob_property	float_value	"lf32"
chunk_radius_update	chunk_radius	"zigzag32"
client_cache_blob_status	misses	"varint"
client_cache_blob_status	haves	"varint"
client_cache_blob_status	missing	["array",{"count":"misses","type":"lu64"}]
client_cache_blob_status	have	["array",{"count":"haves","type":"lu64"}]
client_cache_miss_response	blobs	["array",{"countType":"varint","type":"Blob"}]
client_cache_status	enabled	"bool"
client_start_item_cooldown	category	"string"
client_start_item_cooldown	duration	"zigzag32"
clientbound_map_item_data	map_id	"zigzag64"
clientbound_map_item_data	update_flags	"UpdateMapFlags"
clientbound_map_item_data	dimension	"u8"
clientbound_map_item_data	locked	"bool"
clientbound_map_item_data	included_in	["switch",{"compareTo":"update_flags.initialisation","fields":{"true":["array",{"countType":"varint","type":"zigzag64"}]}}]
clientbound_map_item_data	scale	["switch",{"compareTo":"update_flags.initialisation || update_flags.decoration || update_flags.texture","fields":{"true":"u8"}}]
clientbound_map_item_data	tracked	["switch",{"compareTo":"update_flags.decoration","fields":{"true":["container",[{"name":"objects","type":["array",{"countType":"varint","type":"TrackedObject"}]},{"name":"decorations","type":["array",{"countType":"varint","type":"MapDecoration"}]}]]}}]
clientbound_map_item_data	texture	["switch",{"compareTo":"update_flags.texture","fields":{"true":["container",[{"name":"width","type":"zigzag32"},{"name":"height","type":"zigzag32"},{"name":"x_offset","type":"zigzag32"},{"name":"y_offset","type":"zigzag32"},{"name":"pixels","type":["array",{"countType":"varint","type":"varint"}]}]]}}]
code_builder	url	"string"
code_builder	should_open_code_builder	"bool"
code_builder_source	operation	["mapper",{"type":"u8","mappings":{"0":"none","1":"get","2":"set","3":"reset"}}]
code_builder_source	category	["mapper",{"type":"u8","mappings":{"0":"none","1":"code_status","2":"instantiation"}}]
code_builder_source	value	"string"
command_block_update	is_block	"bool"
command_block_update		["switch",{"compareTo":"is_block","fields":{"true":["container",[{"name":"position","type":"BlockCoordinates"},{"name":"mode","type":["mapper",{"type":"varint","mappings":{"0":"impulse","1":"repeat","2":"chain"}}]},{"name":"needs_redstone","type":"bool"},{"name":"conditional","type":"bool"}]],"false":["container",[{"name":"minecart_entity_runtime_id","type":"varint64"}]]}}]
command_block_update	command	"string"
command_block_update	last_output	"string"
command_block_update	name	"string"
command_block_update	should_track_output	"bool"
command_block_update	tick_delay	"li32"
command_block_update	execute_on_first_tick	"bool"
command_output	origin	"CommandOrigin"
command_output	output_type	["mapper",{"type":"i8","mappings":{"1":"last","2":"silent","3":"all","4":"data_set"}}]
command_output	success_count	"varint"
command_output	output	["array",{"countType":"varint","type":["container",[{"name":"success","type":"bool"},{"name":"message_id","type":"string"},{"name":"parameters","type":["array",{"countType":"varint","type":"string"}]}]]}]
command_output	data_set	["switch",{"compareTo":"output_type","fields":{"data_set":"string"},"default":"void"}]
command_request	command	"string"
command_request	origin	"CommandOrigin"
command_request	internal	"bool"
completed_using_item	used_item_id	"li16"
completed_using_item	use_method	["mapper",{"type":"li32","mappings":{"0":"equip_armor","1":"eat","2":"attack","3":"consume","4":"throw","5":"shoot","6":"place","7":"fill_bottle","8":"fill_bucket","9":"pour_bucket","10":"use_tool","11":"interact","12":"retrieved","13":"dyed","14":"traded"}}]
container_close	window_id	"WindowID"
container_close	server	"bool"
container_open	window_id	"WindowID"
container_open	window_type	"WindowType"
container_open	coordinates	"BlockCoordinates"
container_open	runtime_entity_id	"zigzag64"
container_set_data	window_id	"WindowID"
container_set_data	property	"zigzag32"
container_set_data	value	"zigzag32"
correct_player_move_prediction	position	"vec3f"
correct_player_move_prediction	delta	"vec3f"
correct_player_move_prediction	on_ground	"bool"
correct_player_move_prediction	tick	"varint64"
crafting_data	recipes	"Recipes"
crafting_data	potion_type_recipes	"PotionTypeRecipes"
crafting_data	potion_container_recipes	"PotionContainerChangeRecipes"
crafting_data	material_reducers	["array",{"countType":"varint","type":"MaterialReducer"}]
crafting_data	clear_recipes	"bool"
crafting_event	window_id	"WindowID"
crafting_event	recipe_type	["mapper",{"type":"zigzag32","mappings":{"0":"inventory","1":"crafting","2":"workbench"}}]
crafting_event	recipe_id	"uuid"
crafting_event	input	["array",{"countType":"varint","type":"Item"}]
crafting_event	result	["array",{"countType":"varint","type":"Item"}]
create_photo	entity_unique_id	"li64"
create_photo	photo_name	"string"
create_photo	item_name	"string"
creative_content	items	["array",{"countType":"varint","type":["container",[{"name":"entry_id","type":"varint"},{"name":"item","type":"ItemLegacy"}]]}]
debug_info	player_unique_id	"zigzag64"
debug_info	data	"ByteArray"
debug_renderer	type	["mapper",{"type":"li32","mappings":{"1":"clear","2":"add_cube"}}]
debug_renderer		["switch",{"compareTo":"type","fields":{"clear":"void","add_cube":["container",[{"name":"text","type":"string"},{"name":"position","type":"vec3f"},{"name":"red","type":"lf32"},{"name":"green","type":"lf32"},{"name":"blue","type":"lf32"},{"name":"alpha","type":"lf32"},{"name":"duration","type":"li64"}]]}}]
dimension_data	definitions	["array",{"countType":"varint","type":["container",[{"name":"id","type":"string"},{"name":"max_height","type":"zigzag32"},{"name":"min_height","type":"zigzag32"},{"name":"generator","type":["mapper",{"type":"zigzag32","mappings":{"0":"legacy","1":"overworld","2":"flat","3":"nether","4":"end","5":"void"}}]}]]}]
disconnect	hide_disconnect_reason	"bool"
disconnect	message	"string"
edu_uri_resource_packet	resource	"EducationSharedResourceURI"
education_settings	CodeBuilderDefaultURI	"string"
education_settings	CodeBuilderTitle	"string"
education_settings	CanResizeCodeBuilder	"bool"
education_settings	disable_legacy_title_bar	"bool"
education_settings	post_process_filter	"string"
education_settings	screenshot_border_path	"string"
education_settings	has_agent_capabilities	"bool"
education_settings	agent_capabilities	["switch",{"compareTo":"has_agent_capabilities","fields":{"true":["container",[{"name":"has","type":"bool"},{"name":"can_modify_blocks","type":"bool"}]]}}]
education_settings	HasOverrideURI	"bool"
education_settings	OverrideURI	["switch",{"compareTo":"HasOverrideURI","fields":{"true":"string"}}]
education_settings	HasQuiz	"bool"
education_settings	has_external_link_settings	"bool"
education_settings	external_link_settings	["switch",{"compareTo":"has_external_link_settings","fields":{"true":["container",[{"name":"has","type":"bool"},{"name":"url","type":"string"},{"name":"display_name","type":"string"}]]}}]
emote	entity_id	"varint64"
emote	emote_id	"string"
emote	flags	"u8"
emote_list	player_id	"varint64"
emote_list	emote_pieces	["array",{"countType":"varint","type":"uuid"}]
entity_event	runtime_entity_id	"varint64"
entity_event	event_id	["mapper",{"type":"u8","mappings":{"1":"jump","2":"hurt_animation","3":"death_animation","4":"arm_swing","5":"stop_attack","6":"tame_fail","7":"tame_success","8":"shake_wet","9":"use_item","10":"eat_grass_animation","11":"fish_hook_bubble","12":"fish_hook_position","13":"fish_hook_hook","14":"fish_hook_tease","15":"squid_ink_cloud","16":"zombie_villager_cure","18":"respawn","19":"iron_golem_offer_flower","20":"iron_golem_withdraw_flower","21":"love_particles","22":"villager_angry","23":"villager_happy","24":"witch_spell_particles","25":"firework_particles","26":"in_love_particles","27":"silverfish_spawn_animation","28":"guardian_attack","29":"witch_drink_potion","30":"witch_throw_potion","31":"minecart_tnt_prime_fuse","32":"creeper_prime_fuse","33":"air_supply_expired","34":"player_add_xp_levels","35":"elder_guardian_curse","36":"agent_arm_swing","37":"ender_dragon_death","38":"dust_particles","39":"arrow_shake","57":"eating_item","60":"baby_animal_feed","61":"death_smoke_cloud","62":"complete_trade","63":"remove_leash","64":"caravan","65":"consume_totem","66":"player_check_treasure_hunter_achievement","67":"entity_spawn","68":"dragon_puke","69":"item_entity_merge","70":"start_swim","71":"balloon_pop","72":"treasure_hunt","73":"agent_summon","74":"charged_item","75":"fall","76":"grow_up","77":"vibration_detected"}}]
entity_event	data	"zigzag32"
entity_pick_request	runtime_entity_id	"lu64"
entity_pick_request	selected_slot	"u8"
entity_pick_request	with_data	"bool"
event	runtime_id	"varint64"
event	event_type	["mapper",{"type":"zigzag32","mappings":{"0":"achievement_awarded","1":"entity_interact","2":"portal_built","3":"portal_used","4":"mob_killed","5":"cauldron_used","6":"player_death","7":"boss_killed","8":"agent_command","9":"agent_created","10":"banner_pattern_removed","11":"command_executed","12":"fish_bucketed","13":"mob_born","14":"pet_died","15":"cauldron_block_used","16":"composter_block_used","17":"bell_block_used","18":"actor_definition","19":"raid_update","20":"player_movement_anomaly","21":"player_movement_corrected","22":"honey_harvested","23":"target_block_hit","24":"piglin_barter","25":"waxed_or_unwaxed_copper"}}]
event	use_player_id	"u8"
event	event_data	"restBuffer"
filter_text_packet	text	"string"
filter_text_packet	from_server	"bool"
game_rules_changed	rules	"GameRules"
gui_data_pick_item	item_name	"string"
gui_data_pick_item	item_effects	"string"
gui_data_pick_item	hotbar_slot	"li32"
hurt_armor	cause	"zigzag32"
hurt_armor	damage	"zigzag32"
hurt_armor	armor_slots	"zigzag64"
initiate_web_socket_connection	server	"string"
interact	action_id	["mapper",{"type":"u8","mappings":{"3":"leave_vehicle","4":"mouse_over_entity","5":"npc_open","6":"open_inventory"}}]
interact	target_entity_id	"varint64"
interact	position	["switch",{"compareTo":"action_id","fields":{"mouse_over_entity":"vec3f","leave_vehicle":"vec3f"}}]
inventory_content	window_id	"WindowIDVarint"
inventory_content	input	"ItemStacks"
inventory_slot	window_id	"WindowIDVarint"
inventory_slot	slot	"varint"
inventory_slot	item	"Item"
inventory_transaction	transaction	"Transaction"
item_component	entries	"ItemComponentList"
item_frame_drop_item	coordinates	"BlockCoordinates"
item_stack_request	requests	["array",{"countType":"varint","type":"ItemStackRequest"}]
item_stack_response	responses	"ItemStackResponses"
lab_table	action_type	["mapper",{"type":"u8","mappings":{"0":"combine","1":"react","2":"reset"}}]
lab_table	position	"vec3i"
lab_table	reaction_type	"u8"
lectern_update	page	"u8"
lectern_update	page_count	"u8"
lectern_update	position	"vec3i"
lectern_update	drop_book	"bool"
level_chunk	x	"zigzag32"
level_chunk	z	"zigzag32"
level_chunk	sub_chunk_count	"varint"
level_chunk	highest_subchunk_count	["switch",{"compareTo":"sub_chunk_count","fields":{"-2":"lu16"}}]
level_chunk	cache_enabled	"bool"
level_chunk	blobs	["switch",{"compareTo":"cache_enabled","fields":{"true":["container",[{"name":"hashes","type":["array",{"countType":"varint","type":"lu64"}]}]]}}]
level_chunk	payload	"ByteArray"
level_event	event	["mapper",{"type":"zigzag32","mappings":{"1000":"sound_click","1001":"sound_click_fail","1002":"sound_shoot","1003":"sound_door","1004":"sound_fizz","1005":"sound_ignite","1007":"sound_ghast","1008":"sound_ghast_shoot","1009":"sound_blaze_shoot","1010":"sound_door_bump","1012":"sound_door_crash","1018":"sound_enderman_teleport","1020":"sound_anvil_break","1021":"sound_anvil_use","1022":"sound_anvil_fall","1030":"sound_pop","1032":"sound_portal","1040":"sound_itemframe_add_item","1041":"sound_itemframe_remove","1042":"sound_itemframe_place","1043":"sound_itemframe_remove_item","1044":"sound_itemframe_rotate_item","1050":"sound_camera","1051":"sound_orb","1052":"sound_totem","1060":"sound_armor_stand_break","1061":"sound_armor_stand_hit","1062":"sound_armor_stand_fall","1063":"sound_armor_stand_place","1064":"pointed_dripstone_land","1065":"dye_used","1066":"ink_sack_used","2000":"particle_shoot","2001":"particle_destroy","2002":"particle_splash","2003":"particle_eye_despawn","2004":"particle_spawn","2005":"particle_crop_growth","2006":"particle_guardian_curse","2007":"particle_death_smoke","2008":"particle_block_force_field","2009":"particle_projectile_hit","2010":"particle_dragon_egg_teleport","2011":"particle_crop_eaten","2012":"particle_critical","2013":"particle_enderman_teleport","2014":"particle_punch_block","2015":"particle_bubble","2016":"particle_evaporate","2017":"particle_destroy_armor_stand","2018":"particle_breaking_egg","2019":"particle_destroy_egg","2020":"particle_evaporate_water","2021":"particle_destroy_block_no_sound","2022":"particle_knockback_roar","2023":"particle_teleport_trail","2024":"particle_point_cloud","2025":"particle_explosion","2026":"particle_block_explosion","2027":"particle_vibration_signal","2028":"particle_dripstone_drip","2029":"particle_fizz_effect","2030":"particle_wax_on","2031":"particle_wax_off","2032":"particle_scrape","2033":"particle_electric_spark","2034":"particle_turtle_egg","2035":"particle_sculk_shriek","2036":"sculk_catalyst_bloom","2037":"sculk_charge","2038":"sculk_charge_pop","3001":"start_rain","3002":"start_thunder","3003":"stop_rain","3004":"stop_thunder","3005":"pause_game","3006":"pause_game_no_screen","3007":"set_game_speed","3500":"redstone_trigger","3501":"cauldron_explode","3502":"cauldron_dye_armor","3503":"cauldron_clean_armor","3504":"cauldron_fill_potion","3505":"cauldron_take_potion","3506":"cauldron_fill_water","3507":"cauldron_take_water","3508":"cauldron_add_dye","3509":"cauldron_clean_banner","3600":"block_start_break","3601":"block_stop_break","4000":"set_data","9800":"players_sleeping","9801":"sleeping_players","16384":"add_particle_mask","16385":"add_particle_bubble","16386":"add_particle_bubble_manual","16387":"add_particle_critical","16388":"add_particle_block_force_field","16389":"add_particle_smoke","16390":"add_particle_explode","16391":"add_particle_evaporation","16392":"add_particle_flame","16393":"add_particle_candle_flame","16394":"add_particle_lava","16395":"add_particle_large_smoke","16396":"add_particle_redstone","16397":"add_particle_rising_red_dust","16398":"add_particle_item_break","16399":"add_particle_snowball_poof","16400":"add_particle_huge_explode","16401":"add_particle_huge_explode_seed","16402":"add_particle_mob_flame","16403":"add_particle_heart","16404":"add_particle_terrain","16405":"add_particle_town_aura","16406":"add_particle_portal","16408":"add_particle_water_splash","16409":"add_particle_water_splash_manual","16410":"add_particle_water_wake","16411":"add_particle_drip_water","16412":"add_particle_drip_lava","16413":"add_particle_drip_honey","16414":"add_particle_stalactite_drip_water","16415":"add_particle_stalactite_drip_lava","16416":"add_particle_falling_dust","16417":"add_particle_mob_spell","16418":"add_particle_mob_spell_ambient","16419":"add_particle_mob_spell_instantaneous","16420":"add_particle_ink","16421":"add_particle_slime","16422":"add_particle_rain_splash","16423":"add_particle_villager_angry","16424":"add_particle_villager_happy","16425":"add_particle_enchantment_table","16426":"add_particle_tracking_emitter","16427":"add_particle_note","16428":"add_particle_witch_spell","16429":"add_particle_carrot","16430":"add_particle_mob_appearance","16431":"add_particle_end_rod","16432":"add_particle_dragons_breath","16433":"add_particle_spit","16434":"add_particle_totem","16435":"add_particle_food","16436":"add_particle_fireworks_starter","16437":"add_particle_fireworks_spark","16438":"add_particle_fireworks_overlay","16439":"add_particle_balloon_gas","16440":"add_particle_colored_flame","16441":"add_particle_sparkler","16442":"add_particle_conduit","16443":"add_particle_bubble_column_up","16444":"add_particle_bubble_column_down","16445":"add_particle_sneeze","16446":"add_particle_shulker_bullet","16447":"add_particle_bleach","16448":"add_particle_dragon_destroy_block","16449":"add_particle_mycelium_dust","16450":"add_particle_falling_red_dust","16451":"add_particle_campfire_smoke","16452":"add_particle_tall_campfire_smoke","16453":"add_particle_dragon_breath_fire","16454":"add_particle_dragon_breath_trail","16455":"add_particle_blue_flame","16456":"add_particle_soul","16457":"add_particle_obsidian_tear","16458":"add_particle_portal_reverse","16459":"add_particle_snowflake","16460":"add_particle_vibration_signal","16461":"add_particle_sculk_sensor_redstone","16462":"add_particle_spore_blossom_shower","16463":"add_particle_spore_blossom_ambient","16464":"add_particle_wax","16465":"add_particle_electric_spark"}}]
level_event	position	"vec3f"
level_event	data	"zigzag32"
level_event_generic	event_id	"varint"
level_event_generic	nbt	"nbtLoop"
level_sound_event	sound_id	"SoundType"
level_sound_event	position	"vec3f"
level_sound_event	extra_data	"zigzag32"
level_sound_event	entity_type	"string"
level_sound_event	is_baby_mob	"bool"
level_sound_event	is_global	"bool"
level_sound_event_old	sound_id	"u8"
level_sound_event_old	position	"vec3f"
level_sound_event_old	block_id	"zigzag32"
level_sound_event_old	entity_type	"zigzag32"
level_sound_event_old	is_baby_mob	"bool"
level_sound_event_old	is_global	"bool"
level_sound_event_v2	sound_id	"u8"
level_sound_event_v2	position	"vec3f"
level_sound_event_v2	block_id	"zigzag32"
level_sound_event_v2	entity_type	"string"
level_sound_event_v2	is_baby_mob	"bool"
level_sound_event_v2	is_global	"bool"
login	protocol_version	"i32"
login	tokens	["encapsulated",{"lengthType":"varint","type":"LoginTokens"}]
map_create_locked_copy	original_map_id	"zigzag64"
map_create_locked_copy	new_map_id	"zigzag64"
map_info_request	map_id	"zigzag64"
mob_armor_equipment	runtime_entity_id	"varint64"
mob_armor_equipment	helmet	"Item"
mob_armor_equipment	chestplate	"Item"
mob_armor_equipment	leggings	"Item"
mob_armor_equipment	boots	"Item"
mob_effect	runtime_entity_id	"varint64"
mob_effect	event_id	["mapper",{"type":"u8","mappings":{"1":"add","2":"update","3":"remove"}}]
mob_effect	effect_id	"zigzag32"
mob_effect	amplifier	"zigzag32"
mob_effect	particles	"bool"
mob_effect	duration	"zigzag32"
mob_equipment	runtime_entity_id	"varint64"
mob_equipment	item	"Item"
mob_equipment	slot	"u8"
mob_equipment	selected_slot	"u8"
mob_equipment	window_id	"WindowID"
modal_form_request	form_id	"varint"
modal_form_request	data	"string"
modal_form_response	form_id	"varint"
modal_form_response	data	"string"
motion_prediction_hints	entity_runtime_id	"varint64"
motion_prediction_hints	velocity	"vec3f"
motion_prediction_hints	on_ground	"bool"
move_entity	runtime_entity_id	"varint64"
move_entity	flags	"u8"
move_entity	position	"vec3f"
move_entity	rotation	"Rotation"
move_entity_delta	runtime_entity_id	"varint64"
move_entity_delta	flags	"DeltaMoveFlags"
move_entity_delta	x	["switch",{"compareTo":"flags.has_x","fields":{"true":"lf32"}}]
move_entity_delta	y	["switch",{"compareTo":"flags.has_y","fields":{"true":"lf32"}}]
move_entity_delta	z	["switch",{"compareTo":"flags.has_z","fields":{"true":"lf32"}}]
move_entity_delta	rot_x	["switch",{"compareTo":"flags.has_rot_x","fields":{"true":"u8"}}]
move_entity_delta	rot_y	["switch",{"compareTo":"flags.has_rot_y","fields":{"true":"u8"}}]
move_entity_delta	rot_z	["switch",{"compareTo":"flags.has_rot_z","fields":{"true":"u8"}}]
move_player	runtime_id	"varint"
move_player	position	"vec3f"
move_player	pitch	"lf32"
move_player	yaw	"lf32"
move_player	head_yaw	"lf32"
move_player	mode	["mapper",{"type":"u8","mappings":{"0":"normal","1":"reset","2":"teleport","3":"rotation"}}]
move_player	on_ground	"bool"
move_player	ridden_runtime_id	"varint"
move_player	teleport	["switch",{"compareTo":"mode","fields":{"teleport":["container",[{"name":"cause","type":["mapper",{"type":"li32","mappings":{"0":"unknown","1":"projectile","2":"chorus_fruit","3":"command","4":"behavior"}}]},{"name":"source_entity_type","type":"LegacyEntityType"}]]}}]
move_player	tick	"varint64"
multiplayer_settings	action_type	["mapper",{"type":"zigzag32","mappings":{"0":"enable_multiplayer","1":"disable_multiplayer","2":"refresh_join_code"}}]
network_chunk_publisher_update	coordinates	"BlockCoordinates"
network_chunk_publisher_update	radius	"varint"
network_settings	compression_threshold	"u16"
network_stack_latency	timestamp	"lu64"
network_stack_latency	needs_response	"u8"
npc_dialogue	entity_id	"lu64"
npc_dialogue	action_type	["mapper",{"type":"varint","mappings":{"0":"open","1":"close"}}]
npc_dialogue	dialogue	"string"
npc_dialogue	screen_name	"string"
npc_dialogue	npc_name	"string"
npc_dialogue	action_json	"string"
npc_request	runtime_entity_id	"varint64"
npc_request	request_type	["mapper",{"type":"u8","mappings":{"0":"set_actions","1":"execute_action","2":"execute_closing_commands","3":"set_name","4":"set_skin","5":"set_interaction_text","6":"execute_opening_commands"}}]
npc_request	command	"string"
npc_request	action_type	["mapper",{"type":"u8","mappings":{"0":"set_actions","1":"execute_action","2":"execute_closing_commands","3":"set_name","4":"set_skin","5":"set_interact_text","6":"execute_opening_commands"}}]
npc_request	scene_name	"string"
on_screen_texture_animation	animation_type	"lu32"
packet_violation_warning	violation_type	["mapper",{"type":"zigzag32","mappings":{"0":"malformed"}}]
